what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463831481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463837071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463846615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463858458
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463862182
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463866086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463874086
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463877558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463879154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463882151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463896398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463900089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463902781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463906538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463908215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463909322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463915384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463918655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463920044
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463925113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1390463929818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1390463931247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1390463959477
